Gene	Length	logFC	logCPM	F	PValue	FDR
AT1G69840	1977	1.59110521964205	6.11975865532896	270.221238108642	5.55505204883423e-13	5.45179916792245e-11
AT2G13790	2502	2.27935524403358	5.95274894265939	279.514508815019	5.59813151845237e-13	5.45179916792245e-11
AT1G70520	2403	2.0313433540569	6.12085550450035	273.302861146054	5.61763720024094e-13	5.45179916792245e-11
AT1G07000	2276	2.26782515554077	5.96197779219637	277.542141110532	5.97027103573303e-13	5.75953468310269e-11
AT5G54720	1502	3.07228396413245	3.0586960800461	267.257947304976	6.1498732486674e-13	5.87923464494375e-11
AT1G33720	3017	4.5013781438913	4.70873613001741	311.118686431996	6.166902509042e-13	5.87923464494375e-11
AT1G65790	2925	3.01823349333838	4.39592340917148	281.492753915429	6.25812647055394e-13	5.9313131993139e-11
AT1G21270	3585	2.0797556957088	7.01486369963837	269.602048862783	6.48573926028255e-13	6.08335671854529e-11
AT5G20230	1192	4.65339216584847	8.27628329157861	312.172308023071	6.49361826561569e-13	6.08335671854529e-11
AT3G51330	2278	5.32123131231821	5.23735768203507	314.071311072139	7.28813187252712e-13	6.78843409529006e-11
AT3G49670	3609	-1.97899226078409	6.88873211347278	264.024936185019	7.4479828396678e-13	6.8937900681718e-11
AT3G25560	2426	-1.45105151532412	3.94967190668381	261.615404889391	7.48631487627714e-13	6.8937900681718e-11
AT3G09490	1321	2.06432801317131	1.87017342566562	261.219749996639	7.59138139115822e-13	6.95104622635600e-11
AT5G02250	3086	-0.796585849417633	5.43273041198368	260.534018848764	7.77734571029789e-13	7.08131696217966e-11
AT4G25170	1548	1.01099132383417	6.37835589293504	258.332546006446	8.40910799453971e-13	7.54143543878298e-11
AT3G18370	3794	1.32096271115957	6.60239492683045	258.327802568951	8.41052882642584e-13	7.54143543878298e-11
AT1G34750	1784	2.09041458967919	4.87677906246688	260.470976017545	8.42228552119281e-13	7.54143543878298e-11
AT4G02890	1637	1.0301715462608	8.23225940162251	258.030580311409	8.50008723962529e-13	7.56928098311028e-11
AT4G31290	1386	-2.69338129262905	7.22640704210106	275.559396808635	8.74432044171338e-13	7.71740129930313e-11
AT4G38560	1793	4.09584319517096	3.37437920517079	271.736915702072	8.76165754965e-13	7.71740129930313e-11
AT4G30710	3468	-2.06832556096785	4.42636195003498	256.527574907996	8.96935413257253e-13	7.83818114639183e-11
AT3G12120	2528	-1.23499532025811	9.42027570927728	256.446375884691	8.995506220947e-13	7.83818114639183e-11
AT4G37900	2907	2.06877736805554	2.08670902593451	256.11856038749	9.10194424671099e-13	7.84092888577574e-11
AT1G13470	1404	5.69582632857937	4.90684424440498	305.871382096397	9.16152779783852e-13	7.84092888577574e-11
AT5G36930	4721	1.7768493029114	5.00295126186713	255.861234319682	9.18646705166353e-13	7.84092888577574e-11
AT5G26570	3898	-1.04139687165444	6.78858944690034	255.843937982545	9.19217923303135e-13	7.84092888577574e-11
AT5G47120	1303	1.30920908685364	6.09927925441021	254.29138825777	9.72120939386129e-13	8.21062183655821e-11
AT4G16890	5116	1.10766697679053	8.27505441114935	254.275185411497	9.72690437847335e-13	8.21062183655821e-11
