	oligopeptide transmembrane transport	oligopeptide transport
AT2G29310	0	0
AT1G18550	0	0
AT3G62390	0	0
AT1G33440	0	0
AT1G53700	0	0
AT1G01250	0	0
AT1G78970	0	0
AT4G30680	0	0
AT2G14860	0	0
AT5G09220	0	0
AT1G61860	0	0
AT3G03910	0	0
AT5G07180	0	0
AT3G06140	0	0
AT5G67100	0	0
AT2G42540	0	0
AT5G52930	0	0
AT1G77110	0	0
AT1G75250	0	0
AT4G10150	0	0
AT3G13000	0	0
AT3G14730	0	0
AT5G46600	0	0
AT1G66830	0	0
AT5G13700	0	0
AT1G68110	0	0
AT1G44900	0	0
AT5G66750	0	0
AT1G52830	0	0
AT4G09920	0	0
AT1G28130	0	0
AT2G42900	0	0
AT2G30766	0	0
AT1G68862	0	0
AT4G23020	0	0
AT5G67070	0	0
AT5G18340	0	0
AT4G00020	0	0
AT3G52170	0	0
AT2G42530	0	0
AT3G11550	0	0
AT4G37220	0	0
AT1G21150	0	0
AT4G28190	0	0
AT4G40090	0	0
AT3G27250	0	0
AT3G23740	0	0
AT2G40900	0	0
AT1G11740	0	0
AT1G18870	0	0
AT1G53345	0	0
AT3G59550	0	0
AT2G37900	0	0
AT2G40670	0	0
AT1G33480	0	0
AT5G62730	0	0
AT5G24750	0	0
AT1G67400	0	0
AT1G78450	0	0
AT3G50100	0	0
AT4G30800	0	0
AT1G29510	0	0
AT5G39330	0	0
AT5G41070	0	0
AT4G30860	0	0
AT4G01335	0	0
AT2G30010	0	0
AT3G16420	0	0
AT1G65370	0	0
AT5G16530	0	0
AT1G77580	0	0
AT1G12380	0	0
AT5G50800	0	0
AT1G62870	0	0
AT5G05840	0	0
AT3G50890	0	0
AT2G01610	0	0
AT5G03130	0	0
AT4G14380	0	0
AT1G11170	0	0
AT5G01320	0	0
AT2G34490	0	0
AT1G25250	0	0
AT1G56430	0	0
AT5G07690	0	0
AT5G22880	0	0
AT2G18120	0	0
AT5G50740	0	0
AT3G29280	0	0
AT4G13800	0	0
AT4G15920	0	0
AT5G26790	0	0
AT1G15210	0	0
AT1G19950	0	0
AT3G28770	0	0
AT2G29170	0	0
AT1G28290	0	0
AT4G15248	0	0
AT5G20150	0	0
AT4G24130	0	0
AT3G58820	0	0
AT4G03270	0	0
AT1G02350	0	0
AT2G39560	0	0
AT5G10390	0	0
AT1G10155	0	0
AT1G06980	0	0
AT5G61000	0	0
AT1G26100	0	0
AT5G54470	0	0
AT1G01580	0	0
AT3G27400	0	0
AT2G05810	0	0
AT3G50010	0	0
AT1G22590	0	0
AT5G59870	0	0
AT3G21510	0	0
AT5G23400	0	0
AT1G20720	0	0
AT5G22580	0	0
AT5G20860	0	0
AT4G37682	0	0
AT5G40800	0	0
AT5G66740	0	0
AT4G03540	0	0
AT2G24440	0	0
AT1G77870	0	0
AT5G55950	0	0
AT4G03610	0	0
AT3G61610	0	0
AT2G48130	0	0
AT5G14690	0	0
AT1G11580	0	0
AT4G11450	0	0
AT2G41810	0	0
AT4G28720	0	0
AT1G20480	0	0
AT2G29125	0	0
AT1G53035	0	0
AT2G04170	0	0
AT1G54540	0	0
AT1G27940	0	0
AT3G49750	0	0
AT3G55090	0	0
AT1G62770	0	0
AT1G76610	0	0
AT4G35783	0	0
AT1G74460	0	0
AT3G21460	0	0
AT4G04745	0	0
AT1G56600	0	0
AT5G41880	0	0
AT1G74030	0	0
AT3G59220	0	0
AT3G58810	0	0
AT3G46940	0	0
AT5G49480	0	0
AT2G29420	0	0
AT5G20790	0	0
AT5G13900	0	0
AT1G03820	0	0
AT2G29680	0	0
AT1G64625	0	0
AT5G61160	0	0
AT3G22275	0	0
AT1G18265	0	0
AT3G49570	0	0
AT4G28700	0	0
AT3G28170	0	0
AT3G03460	0	0
AT1G53070	0	0
AT5G65925	0	0
AT1G68238	0	0
AT5G03670	0	0
AT1G18880	0	0
AT4G02110	0	0
AT4G13195	0	0
AT2G33330	0	0
AT2G47880	0	0
AT4G24350	0	0
AT3G09590	0	0
AT5G05390	0	0
AT1G74770	0	0
AT3G62050	0	0
AT3G21330	0	0
AT5G40020	0	0
AT3G27510	0	0
AT4G27360	0	0
AT4G13770	0	0
AT5G08020	0	0
AT1G52400	0	0
AT3G21890	0	0
AT4G34160	0	0
AT2G17280	0	0
AT4G15440	0	0
AT2G47780	0	0
AT1G04180	0	0
AT1G78750	0	0
AT5G01040	0	0
AT3G24515	0	0
AT5G41040	0	0
AT2G46290	0	0
AT1G05450	0	0
AT1G53520	0	0
AT1G26790	0	0
AT4G26790	0	0
AT1G08730	0	0
AT4G37295	0	0
AT3G56570	0	0
AT5G03495	0	0
AT3G11430	0	0
AT4G08590	0	0
AT2G42800	0	0
AT4G02060	0	0
AT3G44550	0	0
AT1G65900	0	0
AT5G03995	0	0
AT2G21100	0	0
AT1G53830	0	0
AT1G56320	0	0
AT5G49390	0	0
AT5G18930	0	0
AT4G10955	0	0
AT4G36610	0	0
AT1G55990	0	0
AT5G23190	0	0
AT4G19820	0	0
AT5G07140	0	0
AT4G37970	0	0
AT3G18730	0	0
AT1G09350	0	0
AT4G14090	0	0
AT5G13580	0	0
AT3G18710	0	0
AT3G02885	0	0
AT1G22340	0	0
AT5G22860	0	0
AT5G39550	0	0
AT5G10400	0	0
AT5G13060	0	0
AT1G31750	0	0
AT2G20825	0	0
AT1G07370	0	0
AT3G27200	0	0
AT4G33610	0	0
AT2G24762	0	0
AT5G44210	0	0
AT5G43935	0	0
AT5G08250	0	0
AT2G30210	0	0
AT2G35150	0	0
AT3G16360	0	0
AT2G34360	0	0
AT2G40370	0	0
AT5G09530	0	0
AT1G38065	0	0
AT1G15580	0	0
AT2G28050	0	0
AT3G12970	0	0
AT2G24190	0	0
AT2G25820	0	0
AT3G48450	0	0
AT5G09520	0	0
AT1G61255	0	0
AT3G19620	0	0
AT3G14740	0	0
AT5G52950	0	0
AT5G24155	0	0
AT4G25990	0	0
AT2G27402	0	0
AT3G14890	0	0
AT3G25640	0	0
AT1G36675	0	0
AT4G28310	0	0
AT5G44550	0	0
AT5G28237	0	0
AT3G09870	0	0
AT1G68850	0	0
AT5G02760	0	0
AT1G58170	0	0
AT2G35075	0	0
AT5G19410	0	0
AT4G29610	0	0
AT1G53180	0	0
AT5G04150	0	0
AT1G19640	0	0
AT1G26330	0	0
AT1G77200	0	0
AT5G15430	0	0
AT2G20700	0	0
AT1G23935	0	0
AT3G44540	0	0
AT1G74890	0	0
AT1G06830	0	0
AT1G79310	0	0
AT1G04220	0	0
AT1G01200	0	0
AT4G20940	0	0
AT1G55380	0	0
AT2G19670	0	0
AT3G48970	0	0
AT4G14310	0	0
AT4G29240	0	0
AT1G72230	0	0
AT3G18070	0	0
AT4G28110	0	0
AT3G22620	0	0
AT5G44635	0	0
AT2G17630	0	0
AT3G52790	0	0
AT1G14520	0	0
AT3G18630	0	0
AT2G03090	0	0
AT3G61680	0	0
AT3G58990	0	0
AT3G53840	0	0
AT2G36870	0	0
AT5G05330	0	0
AT5G15630	0	0
AT1G74650	0	0
AT1G04020	0	0
AT5G07475	0	0
AT2G23540	0	0
AT5G06090	0	0
AT3G25100	0	0
AT2G32510	0	0
AT2G21200	0	0
AT1G03020	0	0
